index,authors,title,publish_date,description,main_story,url
1790,['Cbc News'],"Grandmother at Woodslee care home cleared of COVID-19, but questions linger",2020-04-22,A Windsor man whose grandmother previously tested positive for COVID-19 at a long-term care facility...,A Windsor man whose grandmother previously tested positive for COVID-19 at a long-term care facility...,https://www.cbc.ca/news/canada/windsor/covid-19-country-village-nursing-home-ruccolo-woodslee-1.5540...
1791,[],Brandon School Division lays off 245 workers as COVID-19 halts in-class instruction,2020-04-21,"The Brandon School Division says it is laying off 245 staff members because the division cannot ""sus...","The Brandon School Division says it is laying off 245 staff members because the division cannot ""sus...",https://www.cbc.ca/news/canada/manitoba/brandon-school-division-layoffs-coronavirus-1.5539227
1792,['Cbc News'],Vancouver's annual Celebration of Light fireworks cancelled due to COVID-19,2020-04-21,"The Honda Celebration of Light will not take place in 2020, organizers say, following comments from ...","The Honda Celebration of Light will not take place in 2020, organizers say, following comments from ...",https://www.cbc.ca/news/canada/british-columbia/coronavirus-covid-19-bc-celebration-of-light-1.55391...
1793,[],Phones already ringing for Friday tee-off times on P.E.I.,2020-04-29,P.E.I.’s golfers were quick to the phones when the province announced it was lifting COVID-19 restri...,P.E.I.'s golfers were quick to the phones when the province announced it was lifting COVID-19 restri...,https://www.cbc.ca/news/canada/prince-edward-island/pei-golf-courses-opening-covid-19-1.5548950
1794,"['Parliament Hill Bureau', 'Aaron Wherry Has Covered Parliament Hill Since', ""Has Written For Maclea...",We just saw a Commons without the usual stale theatrics — and it was a revelation,2020-04-20,We've heard a lot of argument lately among MPs about the importance of keeping the Commons in sessio...,In the midst of a deadly global pandemic — the likes of which almost no one alive today has ever exp...,https://www.cbc.ca/news/politics/covid-coronavirus-pandemic-commons-trudeau-scheer-1.5539044
1795,['Cbc News'],"London region sees another COVID-19 death, 8 new cases",2020-04-09,"COVID-19 cases in the London region now total 170, after eight new cases were announced Thursday alo...","COVID-19 cases in the London region now total 170, after eight new cases were announced Thursday alo...",https://www.cbc.ca/news/canada/london/covid-19-cases-1.5528019
1796,[],"No new COVID-19 cases, 1 more person in intensive care",2020-04-19,"The total number of cases identified in the province is still 253, with 105 of those considered acti...","One more Manitoban with COVID-19 is in intensive care, the province announced Sunday afternoon. Mani...",https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-1.5537784
1797,['Cbc News'],"Exit approach, cardboard, masks: Common Sask. COVID-19 questions answered",2020-04-14,Dr. Anne Huang joined host Stefani Langenegger on Tuesday morning to answer common questions about t...,"What should people know right now about COVID-19? Dr. Anne Huang, the former deputy medical health ...",https://www.cbc.ca/news/canada/saskatchewan/covid-19-sask-common-questions-tuesday-1.5531359
1798,['The Associated Press'],"After a few swings of a sledgehammer, a prized Vincent van Gogh work was gone",2020-04-22,All it took was a few sturdy swings with a sledgehammer and a prized painting by Vincent van Gogh wa...,All it took was a few sturdy swings with a sledgehammer and a prized painting by Vincent van Gogh wa...,https://www.cbc.ca/news/entertainment/art-theft-van-gogh-amsterdam-1.5541627
1799,[],"COVID-19 in Sask: 'COVID is here for a while,' Moe says",2020-04-15,Restrictions on public gatherings and visiting family in long-term care homes are not likely to be l...,Click here for the latest: COVID-19 in Sask: Why testing numbers are down There are now 304 cases o...,https://www.cbc.ca/news/canada/saskatoon/coronavirus-saskatchewan-1.5532917
1800,['Cbc News'],London region sees 11 new COVID-19 cases and more than half are linked to seniors' facilities,2020-04-21,"There are now 334 COVID-19 cases in the London region, as the provincial total reached 11,735 Tuesda...","There are now 334 COVID-19 cases in the London region, as the provincial tally has reached 11,735. T...",https://www.cbc.ca/news/canada/london/coronavirus-cases-london-ontario-april-21-1.5539175
1801,['The Associated Press'],U.S. grapples with how to drastically ramp up COVID-19 contact tracing,2020-04-16,"As federal officials weigh how and when to reopen the country, experts say the United States does no...","Before Washington state lifts its stay-at-home order, public health workers in Seattle's King County...",https://www.cbc.ca/news/world/us-contact-tracing-shortages-1.5534252
1802,[],N.W.T. judge criticizes lack of COVID-19 testing in jail,2020-04-21,A judge had some harsh words for the lack of measures being taken to prevent the novel coronavirus f...,A judge had some harsh words for the lack of measures being taken to prevent the novel coronavirus f...,https://www.cbc.ca/news/canada/north/nwt-judge-criticizes-lack-covid19-testing-jail-1.5539131
1803,['Cbc News'],"Once a doctor, always a doctor': Sask. NDP leader returns to medical field amid COVID-19 pandemic",2020-04-21,Saskatchewan NDP leader Ryan Meili is returning to work as a doctor after reactivating his medical l...,Saskatchewan NDP leader Ryan Meili is returning to work as a doctor after reactivating his medical l...,https://www.cbc.ca/news/canada/saskatchewan/ryan-meili-doctor-coronavirus-1.5539088
1804,"['Tony Davis Grew Up On P.E.I.', 'Studied Journalism At Holland College. He Can Be Contacted At Anth...",Some truckers entering P.E.I. being tested for COVID-19 at Confederation Bridge,2020-04-30,P.E.I. Chief Public Health Officer Dr. Heather Morrison says testing for COVID-19 at the Confederati...,P.E.I. Chief Public Health Officer Dr. Heather Morrison says testing for COVID-19 at the Confederati...,https://www.cbc.ca/news/canada/prince-edward-island/pei-long-haul-testing-april-1.5550814
1805,[],"Tensions, fears, anxieties' in DTES have homeless advocates demanding safer housing during pandemic",2020-04-21,Premier John Horgan said news about how the province will help support homeless people would be comi...,Weekend arrests at a Vancouver school show not enough is being done to protect vulnerable British Co...,https://www.cbc.ca/news/canada/british-columbia/coronavirus-covid-19-dtes-homeless-housing-1.5539121
1806,[],N.W.T. judge criticizes lack of COVID-19 testing in jail,2020-04-21,A judge had some harsh words for the lack of measures being taken to prevent the novel coronavirus f...,A judge had some harsh words for the lack of measures being taken to prevent the novel coronavirus f...,https://www.cbc.ca/news/canada/north/nwt-judge-criticizes-lack-covid19-testing-jail-1.5539131
1807,['Cbc News'],"COVID-19 backlog hits northeastern Ontario, 300 people waiting for test results",2020-03-25,There are now ten cases of COVID-19 confirmed in northeastern Ontario.,There are now ten cases of COVID-19 confirmed in northeastern Ontario. The Temiskaming district repo...,https://www.cbc.ca/news/canada/sudbury/covid-backlog-northeastern-ontario-1.5509661
1808,"['Reporter Associate Producer', 'Emily Pasiuk Is A Reporter For Cbc Saskatchewan', ""An Associate Pro...","Town of Nokomis, Sask., cancels utility bills until June amid COVID-19 pandemic",2020-04-18,"The change is not just a deferral, town officials say —residents will not have to pay their water an...","In a move to help residents during the coronavirus pandemic, the mayor and council in Nokomis, Sask....",https://www.cbc.ca/news/canada/saskatchewan/nokimis-utility-bills-cancelled-covid-19-1.5537293
